id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,latitude,longitude,total_vitimas,n_mortos,n_feridos_graves,n_feridos_leves,n_ilesos,n_ignorados,indice_gravidade,gravidade_cat,tracado_simplificado,pista_tipo,area_tipo,clima_adverso,periodo_dia,municipio_clean
589941,2024-03-26,terça-feira,21:40:00,GO,40,"72,5 ",CRISTALINA,Sim,Sinalização mal posicionada,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Desvio Temporário,Não  ,-16.615897,-47.756002,4,0,2,2,0,0,6,Grave,Reta,Simples,Rural,Adverso,Noite,CRISTALINA
590111,2024-03-27,quarta-feira,15:20:00,GO,20,"63,9 ",FORMOSA,Não,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Curva;Declive,Não  ,-15.220887,-47.160679,80,0,16,16,16,32,48,Grave,Curva,Simples,Rural,Normal,Dia,FORMOSA
590167,2024-03-27,quarta-feira,20:30:00,DF,70,4    ,BRASILIA,Não,Acumulo de água sobre o pavimento,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Reta,Sim  ,-15.798115,-48.089317,16,0,0,4,0,12,4,Leve,Reta,Simples,Urbana,Adverso,Noite,BRASILIA
590782,2024-03-30,sábado,18:55:00,GO,60,8    ,SANTO ANTONIO DO DESCOBERTO,Sim,Acumulo de areia ou detritos sobre o pavimento,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Aclive,Não  ,-16.100354,-48.28663,4,0,0,1,2,1,1,Leve,Inclinacao,Simples,Rural,Adverso,Noite,SANTO ANTONIO DO DESCOBERTO
590820,2024-03-30,sábado,22:15:00,DF,70,"9,6  ",BRASILIA,Sim,Iluminação deficiente,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,Sim  ,-15.784615,-48.132023,4,0,1,0,2,1,2,Grave,Reta,Simples,Urbana,Normal,Noite,BRASILIA
590860,2024-03-31,domingo,01:00:00,GO,20,24   ,FORMOSA,Não,Reação tardia ou ineficiente do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva;Declive,Não  ,-15.54017,-47.142769,25,0,0,10,15,0,10,Leve,Curva,Simples,Rural,Normal,Noite,FORMOSA
591330,2024-04-02,terça-feira,07:35:00,GO,70,3    ,AGUAS LINDAS DE GOIAS,Não,Reação tardia ou ineficiente do condutor,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Múltipla,Reta,Sim  ,-15.761773,-48.2368693,24,0,0,12,12,0,12,Leve,Reta,Multipla,Urbana,Adverso,Dia,AGUAS LINDAS DE GOIAS
591461,2024-04-02,terça-feira,20:00:00,DF,70,6    ,BRASILIA,Sim,Acesso irregular,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Não  ,-15.791242,-48.105759,6,0,0,6,0,0,6,Leve,Reta,Multipla,Rural,Normal,Noite,BRASILIA
591633,2024-04-03,quarta-feira,20:50:00,DF,70,5    ,BRASILIA,Sim,Acumulo de água sobre o pavimento,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim  ,-15.794656,-48.096779,3,0,0,1,2,0,1,Leve,Reta,Simples,Urbana,Adverso,Noite,BRASILIA
591828,2024-04-04,quinta-feira,21:48:00,DF,20,"42,8 ",BRASILIA,Não,Manobra de mudança de faixa,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Aclive;Reta,Não  ,-15.579221,-47.494339,75,0,15,0,30,30,30,Grave,Inclinacao,Simples,Rural,Normal,Noite,BRASILIA
